"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/06/2020","21,45","19,16","-1,79","18,94","21,79","608,15M"
"15/06/2020","17,00","19,51","5,23","16,70","20,20","569,41M"
"12/06/2020","18,41","18,54","-8,40","18,26","19,97","495,64M"
"10/06/2020","23,52","20,24","-9,64","20,05","24,27","652,22M"
"09/06/2020","22,85","22,40","-6,63","21,57","25,13","823,36M"
"08/06/2020","20,10","23,99","28,29","19,87","23,99","697,09M"
"05/06/2020","18,20","18,70","9,74","18,11","18,93","423,75M"
"04/06/2020","17,31","17,04","-3,13","16,72","18,19","410,34M"
"03/06/2020","16,01","17,59","16,41","16,01","17,87","573,17M"
"02/06/2020","13,50","15,11","15,70","13,37","15,30","422,84M"
"01/06/2020","11,86","13,06","8,56","11,78","13,13","250,02M"
"29/05/2020","12,09","12,03","-1,72","11,64","12,18","130,87M"
"28/05/2020","12,37","12,24","-1,05","12,00","12,58","109,29M"
"27/05/2020","12,48","12,37","0,65","11,95","12,65","102,88M"
"26/05/2020","13,00","12,29","-2,46","12,15","13,19","143,57M"
"25/05/2020","12,80","12,60","3,03","12,44","13,09","91,55M"
"22/05/2020","12,15","12,23","-2,16","11,87","12,37","123,69M"
"21/05/2020","12,83","12,50","-1,42","12,50","13,70","242,00M"
"20/05/2020","12,01","12,68","8,84","11,90","13,76","375,91M"
"19/05/2020","12,30","11,65","-6,28","11,35","12,84","242,04M"
"18/05/2020","11,44","12,43","14,46","11,26","12,57","214,58M"
"15/05/2020","10,27","10,86","4,12","10,22","11,22","179,84M"
"14/05/2020","9,89","10,43","3,58","9,53","10,56","98,07M"
"13/05/2020","10,21","10,07","0,70","9,72","10,35","96,16M"
"12/05/2020","10,70","10,00","-5,12","10,00","10,92","67,22M"
"11/05/2020","10,64","10,54","-4,18","10,27","10,90","61,46M"
"08/05/2020","11,03","11,00","2,33","10,64","11,24","73,89M"
"07/05/2020","11,95","10,75","-6,68","10,74","11,95","119,70M"
"06/05/2020","11,60","11,52","-2,21","11,21","11,98","82,73M"
"05/05/2020","11,50","11,78","5,65","11,35","11,96","90,61M"
"04/05/2020","11,38","11,15","-10,08","10,79","11,59","139,20M"
"30/04/2020","12,87","12,40","-7,05","12,23","13,10","155,31M"
"29/04/2020","12,62","13,34","9,43","12,37","13,40","166,98M"
"28/04/2020","11,36","12,19","11,63","11,08","12,33","124,85M"
"27/04/2020","11,15","10,92","2,34","10,52","11,28","77,34M"
"24/04/2020","11,90","10,67","-11,89","10,55","12,02","176,81M"
"23/04/2020","12,00","12,11","1,76","11,90","12,69","163,78M"
"22/04/2020","12,05","11,90","-1,41","11,87","12,24","80,70M"
"20/04/2020","11,70","12,07","0,58","11,61","12,39","97,89M"
"17/04/2020","12,25","12,00","2,04","11,80","12,36","109,25M"
"16/04/2020","12,76","11,76","-4,23","11,65","12,84","154,02M"
"15/04/2020","11,14","12,28","7,16","10,97","12,34","144,36M"
"14/04/2020","11,75","11,46","0,09","11,36","11,99","124,22M"
"13/04/2020","11,30","11,45","-1,55","11,14","11,89","91,72M"
"09/04/2020","12,46","11,63","-3,00","11,40","12,89","174,89M"
"08/04/2020","10,80","11,99","9,50","10,34","12,19","169,62M"
"07/04/2020","11,28","10,95","7,88","10,80","11,44","159,02M"
"06/04/2020","10,46","10,15","7,18","9,80","10,77","132,16M"
"03/04/2020","9,90","9,47","-6,52","9,06","10,03","96,11M"
"02/04/2020","10,39","10,13","1,50","9,71","11,14","153,60M"
